Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,182808,96,1904.3,1345.0,1312,21026,2721.0,_copy_mapped_spatial_vector_910e04e9_cuda_kernel_forward
0.0,182449,48,3801.0,2800.5,2720,26563,4733.4,_efc_contact_update__locals__kernel_1b4b8d05_cuda_kernel_forward
0.0,181429,100,1814.3,1360.5,1280,12738,2155.3,"void at::native::cross_kernel<float, OffsetCalculator<(int)3, unsigned int, (bool)0>, int>(int, T1 *, const T1 *, const T1 *, T2, T3, T3, T3)"
0.0,179508,6,29918.0,30019.5,29347,30083,282.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)1>>(at::TensorIterator &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.0,178799,48,3725.0,2720.0,2304,47557,6466.8,_scatter_particle_state_mapped_a50d8d96_cuda_kernel_forward
0.0,178264,48,3713.8,2560.0,2305,34724,5650.9,apply_mjc_body_f_kernel_959969cf_cuda_kernel_forward
0.0,177328,48,3694.3,2976.0,2689,37348,4963.5,compute_shape_transforms_kernel_9f59b1a6_cuda_kernel_forward
0.0,175345,48,3653.0,3073.0,2944,29955,3878.3,create_narrow_phase_kernel_gjk_mpr__locals__narrow_phase_kernel_gjk_mpr_7ce28e88_cuda_kernel_forward
0.0,169715,52,3263.8,1633.0,1600,27267,4895.9,_subtree_div_0ef57c26_cuda_kernel_forward
0.0,168307,18,9350.4,9441.0,8257,10529,1065.5,_extract_dof_A_diag_917a07a1_cuda_kernel_forward
0.0,168175,48,3503.6,2624.0,2560,42853,5801.3,step_body_body_contact_C0_lambda_7beaf256_cuda_kernel_forward
0.0,167632,48,3492.3,2496.0,2464,26019,4654.1,_qderiv_actuator_passive_vel_cc1a6654_cuda_kernel_forward
0.0,166870,48,3476.5,2848.0,2784,27011,3535.2,_apply_ft_1667a928_cuda_kernel_forward
0.0,159154,52,3060.7,1600.0,1377,22530,4590.7,_subtree_com_init_002b02fd_cuda_kernel_forward
0.0,156653,48,3263.6,2272.0,2208,26051,4663.8,apply_mjc_control_kernel_af10f051_cuda_kernel_forward
0.0,150096,48,3127.0,2800.5,1920,25123,3267.7,compute_relative_transforms_kernel_663e1ac2_cuda_kernel_forward
0.0,148532,48,3094.4,2464.0,2400,23907,3293.2,_qderiv_actuator_passive_6cbfee2a_cuda_kernel_forward
0.0,148237,48,3088.3,1696.0,1600,66119,9292.9,update_velocity_207f84fc_cuda_kernel_forward
0.0,146161,7,20880.1,21571.0,18530,22243,1420.6,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,146131,48,3044.4,2336.0,2304,32868,4399.2,build_body_body_contact_lists_447b4026_cuda_kernel_forward
0.0,145233,102,1423.9,992.0,961,9473,1809.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,141139,48,2940.4,2080.0,2048,22562,4105.0,_cacc_world_6ec26fdb_cuda_kernel_forward
0.0,138768,3,46256.0,45989.0,45669,47110,756.7,"void at::native::bitonicSortKVInPlace<(int)2, (int)-1, (int)16, (int)16, float, long long, at::native::GTOp<float, (bool)1>, unsigned int>(at::cuda::detail::TensorInfo<T5, T8>, T8, T8, T8, at::cuda::detail::TensorInfo<T6, T8>, T8, T7)"
0.0,137133,48,2856.9,2336.0,2304,22882,2997.0,convert_mj_coords_to_warp_kernel_55623290_cuda_kernel_forward
0.0,135248,14,9660.6,5185.0,5120,37924,11327.1,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)4>, long long>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long long, long long, long long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,134825,48,2808.9,1952.5,1920,22979,3971.0,_spring_damper_dof_passive_7b46d40c_cuda_kernel_forward
0.0,133162,48,2774.2,2016.0,1953,20258,3581.6,_cfrc_3922b605_cuda_kernel_forward
0.0,129646,11,11786.0,11873.0,9697,12673,759.9,_accumulate_subtreemass_a3369753_cuda_kernel_forward
0.0,128276,48,2672.4,1920.0,1888,20258,3547.7,_efc_contact_jac_dense__locals__kernel_506f0133_cuda_kernel_forward
0.0,128142,4,32035.5,30739.0,24963,41701,7043.6,_tile_cholesky_factorize_block__locals__kernel_7b151490_cuda_kernel_forward
0.0,127850,48,2663.5,2113.0,2048,18722,2638.4,_qderiv_actuator_passive_actuation_sparse_9edf10e9_cuda_kernel_forward
0.0,126570,48,2636.9,2048.0,1888,29187,3914.6,init_body_body_contact_materials_95ac6a13_cuda_kernel_forward
0.0,125867,50,2517.3,1776.5,1696,21186,3632.1,get_joint_acc_from_joint_vel_2ab71688_cuda_kernel_forward
0.0,125384,48,2612.2,1984.0,1952,17090,2981.3,_actuator_velocity_00a052f5_cuda_kernel_forward
0.0,123538,48,2573.7,2112.0,2049,18274,2448.7,_qderiv_tendon_damping_ec990995_cuda_kernel_forward
0.0,123469,4,30867.3,30387.5,30179,32515,1103.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIterator &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.0,121780,48,2537.1,1761.0,1760,20387,3568.1,_friction_dof__locals__kernel_b5c3d339_cuda_kernel_forward
0.0,121552,48,2532.3,1889.0,1856,18145,2924.8,_qfrc_actuator_gravcomp_limits_a91eb6a0_cuda_kernel_forward
0.0,121517,12,10126.4,10017.5,9889,10689,259.7,compute_mean_vec3f_over_vertices_a5cf60bc_cuda_kernel_forward
0.0,118630,48,2471.5,1984.5,1888,23779,3141.9,_nxn_broadphase_precomputed_pairs_8be4a3a3_cuda_kernel_forward
0.0,118159,48,2461.6,1824.5,1792,18146,2917.5,_next_time_builder__locals___next_time_9e67d474_cuda_kernel_forward
0.0,117448,48,2446.8,1760.0,1728,18306,3288.7,_gravity_force_7c63ac28_cuda_kernel_forward
0.0,117264,96,1221.5,1024.0,992,10241,1239.2,check_contact_overflow_f905198b_cuda_kernel_forward
0.0,115536,48,2407.0,1808.5,1760,15682,2781.0,_qfrc_passive_ccf6028a_cuda_kernel_forward
0.0,113196,106,1067.9,1056.0,992,1216,56.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.0,111691,48,2326.9,1696.0,1632,17250,3032.5,apply_mjc_free_joint_f_to_body_f_kernel_376acabe_cuda_kernel_forward
0.0,108781,49,2220.0,1569.0,1536,17889,3035.3,update_timestamp_kernel_71be0a73_cuda_kernel_forward
0.0,108170,38,2846.6,2337.0,1856,23170,3400.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.0,106184,49,2167.0,2208.0,1856,2465,173.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float, (bool)1>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,105481,64,1648.1,1088.0,992,8545,2003.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,104331,48,2173.6,1601.0,1568,18850,2735.9,sync_proxy_states_kernel_e384b778_cuda_kernel_forward
0.0,104265,48,2172.2,1536.0,1504,19266,3035.2,_qfrc_actuator_6de5c51c_cuda_kernel_forward
0.0,103339,28,3690.7,2352.0,1760,27074,5316.1,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,102089,48,2126.9,1344.0,1312,28643,4165.7,_copy_mapped_vec3_56c22622_cuda_kernel_forward
0.0,100527,35,2872.2,993.0,960,8961,3247.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.0,100044,28,3573.0,2192.0,1888,23426,5444.9,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,99628,4,24907.0,25523.0,22467,26115,1687.7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,99499,12,8291.6,8241.0,7841,8961,329.8,repeat_array_kernel_a2286757_cuda_kernel_forward
0.0,99016,48,2062.8,1600.0,1568,15618,2291.6,_next_activation_4a03322b_cuda_kernel_forward
0.0,95274,26,3664.4,2240.0,2144,21571,4947.9,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,92807,48,1933.5,1408.0,1376,14114,2543.5,_efc_contact_init__locals__kernel_97d2cf71_cuda_kernel_forward
0.0,89838,42,2139.0,1632.5,1216,20514,2909.0,"void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::device_select_policy_hub<long long, bool, int, (bool)0, (bool)0>::Policy900, at_cuda_detail::cub::CountingInputIterator<long long, long long>, at_cuda_detail::cub::TransformInputIterator<bool, at::native::<unnamed>::NonZeroOp<bool>, const bool *, long long>, long long *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, at_cuda_detail::cub::NullType, at_cuda_detail::cub::NullType, int, (bool)0, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, at_cuda_detail::cub::detail::vsmem_t)"
0.0,88652,48,1846.9,1536.0,1472,14049,1821.7,_qfrc_bias_4085b6de_cuda_kernel_forward
0.0,87268,48,1818.1,1536.0,1504,14370,1850.8,verify_narrow_phase_buffers_c234c2df_cuda_kernel_forward
0.0,83077,48,1730.8,1664.0,1632,1952,105.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,83017,11,7547.0,7744.0,6785,8513,621.9,repeat_array_kernel_62aa76ac_cuda_kernel_forward
0.0,81804,42,1947.7,1568.0,1216,17218,2418.0,"void at_cuda_detail::cub::DeviceReduceSingleTileKernel<at_cuda_detail::cub::DeviceReducePolicy<int, unsigned long long, cuda::std::__4::plus<void>>::Policy600, at_cuda_detail::cub::TransformInputIterator<bool, at::native::<unnamed>::NonZeroOp<bool>, const bool *, long long>, int *, unsigned long long, cuda::std::__4::plus<void>, int, int, cuda::std::__4::__identity>(T2, T3, T4, T5, T6, T8)"
0.0,81738,48,1702.9,1377.0,1376,12642,1674.2,_next_position_1c101e8d_cuda_kernel_forward
0.0,80809,76,1063.3,1056.0,1024,1120,21.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,80612,48,1679.4,1312.0,1248,12482,1774.7,_solve_init_dof__locals__kernel_70bb5915_cuda_kernel_forward
0.0,79433,2,39716.5,39716.5,14882,64551,35121.3,_resolve_dampratio_9820ff1f_cuda_kernel_forward
0.0,77481,15,5165.4,1792.0,1633,40772,10282.5,gather_particles_vec3f_908e2c35_cuda_kernel_forward
0.0,76265,48,1588.9,1344.0,1312,12546,1615.7,_harvest_vbd_proxy_wrenches_kernel_59dd3421_cuda_kernel_forward
0.0,76075,48,1584.9,1216.0,1184,11393,1785.8,_next_velocity_d66c2f53_cuda_kernel_forward
0.0,75497,6,12582.8,12273.5,11969,14402,911.1,_scatter_reset_masks_from_ids_2405962b_cuda_kernel_forward
0.0,75207,48,1566.8,1280.0,1248,11969,1572.0,_qfrc_smooth__locals__kernel_33de72f1_cuda_kernel_forward
0.0,73612,48,1533.6,1216.0,1184,11009,1589.1,_preprocess_tactile_contacts_0f2dba1d_cuda_kernel_forward
0.0,67363,48,1403.4,1152.0,1152,10689,1370.9,fused_mul_add_add
0.0,66436,29,2290.9,1472.0,1408,13794,3051.7,_write_2d_user_to_backend_with_indices_69eedb69_cuda_kernel_forward
0.0,66343,2,33171.5,33171.5,31107,35236,2919.6,update_dof_properties_kernel_c60786a2_cuda_kernel_forward
0.0,65735,48,1369.5,1024.0,992,8961,1597.7,_zero_constraint_counts_82d999b9_cuda_kernel_forward
0.0,64837,60,1080.6,1056.5,1024,1184,36.0,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,60359,1,60359.0,60359.0,60359,60359,0.0,update_geom_properties_kernel_170f7df2_cuda_kernel_forward
0.0,58343,1,58343.0,58343.0,58343,58343,0.0,update_body_inertia_kernel_f58a19e3_cuda_kernel_forward
0.0,58151,3,19383.7,19266.0,19010,19875,444.3,repeat_array_kernel_110bb2ab_cuda_kernel_forward
0.0,58150,48,1211.5,912.5,896,7904,1407.4,_comvel_root_15820f35_cuda_kernel_forward
0.0,56487,1,56487.0,56487.0,56487,56487,0.0,"wp::build_hierarchy(int, int *, const int *, const unsigned long long *, int *, const int *, volatile int *, volatile int *, volatile int *, volatile wp::BVHPackedNodeHalf *, volatile wp::BVHPackedNodeHalf *)"
0.0,56262,1,56262.0,56262.0,56262,56262,0.0,"void at::native::vectorized_gather_kernel<(int)16, long long>(char *, char *, T2 *, int, long long, long long, long long, long long, bool)"
0.0,55206,4,13801.5,13730.0,13633,14113,212.6,scatter_particles_vec3f_index_757c1548_cuda_kernel_forward
0.0,54982,2,27491.0,27491.0,24963,30019,3575.1,update_jnt_properties_kernel_0897daf7_cuda_kernel_forward
0.0,54086,48,1126.8,928.0,896,7777,1059.9,_solve_init_efc_a1db7ec5_cuda_kernel_forward
0.0,53639,8,6704.9,6928.5,5505,7553,800.4,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceRadixSortOnesweepKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::radix::policy_hub<unsigned long long, SortPayload<(int)4>, unsigned int>::Policy1000, (bool)0, unsigned long long, SortPayload<(int)4>, unsigned int, int, int, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,53352,25,2134.1,1857.0,1824,2849,353.1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.0,52134,2,26067.0,26067.0,23395,28739,3778.8,sync_qpos0_kernel_4ee6d78c_cuda_kernel_forward
0.0,51084,48,1064.3,832.0,800,6657,1100.8,_primitive_narrowphase__locals__primitive_narrowphase_68923485_cuda_kernel_forward
0.0,49318,2,24659.0,24659.0,19202,30116,7717.4,_update_effective_inv_mass_inertia_79ac0336_cuda_kernel_forward
0.0,49027,24,2042.8,2080.0,1920,2208,85.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::CompareFunctor<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,47945,42,1141.5,1136.5,1088,1185,35.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.0,47814,45,1062.5,1088.0,992,1120,38.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.0,46502,2,23251.0,23251.0,21347,25155,2692.7,update_jnt_solref_from_invweight0_kernel_937c531f_cuda_kernel_forward
0.0,46469,1,46469.0,46469.0,46469,46469,0.0,compute_shape_local_bounds_5bec0069_cuda_kernel_forward
0.0,45862,2,22931.0,22931.0,13666,32196,13102.7,_set_length_range_a26be645_cuda_kernel_forward
0.0,45541,1,45541.0,45541.0,45541,45541,0.0,eval_mujoco_coupling_effective_mass_block_kernel_463f086f_cuda_kernel_forward
0.0,44069,4,11017.3,11025.5,10113,11905,731.8,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,44069,25,1762.8,1088.0,1056,9473,2292.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,43588,3,14529.3,14721.0,11617,17250,2821.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,43108,26,1658.0,1056.0,992,8897,2126.7,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,42726,24,1780.3,1761.0,1728,1920,59.6,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,42725,2,21362.5,21362.5,20354,22371,1426.2,_coupling_eval_particle_gravity_acceleration_kernel_2fe145da_cuda_kernel_forward
0.0,42406,42,1009.7,864.0,832,6977,943.7,"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
0.0,42243,36,1173.4,1184.0,1120,1408,53.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::CompareFunctor<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.0,40485,2,20242.5,20242.5,18626,21859,2286.1,update_axis_properties_kernel_652726ff_cuda_kernel_forward
0.0,40291,36,1119.2,1120.0,1056,1216,43.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::tanh_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
