Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,22850,1,22850.0,22850.0,22850,22850,0.0,update_mimic_eq_data_and_active_kernel_827106ee_cuda_kernel_forward
0.0,22435,13,1725.8,1152.0,1120,8769,2116.3,fused_neg_cat
0.0,21826,2,10913.0,10913.0,9345,12481,2217.5,update_model_properties_kernel_aed64d5b_cuda_kernel_forward
0.0,21795,1,21795.0,21795.0,21795,21795,0.0,update_body_properties_kernel_0a57e982_cuda_kernel_forward
0.0,21538,2,10769.0,10769.0,10625,10913,203.6,_copy_qpos0_to_qpos_32739b15_cuda_kernel_forward
0.0,21091,1,21091.0,21091.0,21091,21091,0.0,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,20738,12,1728.2,1728.0,1696,1760,13.7,copy_from_newton_kernel_f6f37562_cuda_kernel_forward
0.0,17856,12,1488.0,1488.0,1472,1504,16.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctorOnSelf_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,17346,2,8673.0,8673.0,5665,11681,4254.0,_compact_visible_shape_contact_pairs_kernel_14d52788_cuda_kernel_forward
0.0,16611,12,1384.3,1376.5,1376,1408,14.3,update_outdated_envs_kernel_937ac92b_cuda_kernel_forward
0.0,16258,1,16258.0,16258.0,16258,16258,0.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,15618,1,15618.0,15618.0,15618,15618,0.0,update_shape_mappings_kernel_8592a150_cuda_kernel_forward
0.0,14784,7,2112.0,1024.0,864,8864,2978.4,"void memtile_value_kernel<long long>(T1 *, T1, unsigned long long)"
0.0,14721,12,1226.8,1216.0,1216,1248,15.7,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<long long>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,13537,1,13537.0,13537.0,13537,13537,0.0,repeat_array_kernel_e4615b4a_cuda_kernel_forward
0.0,13505,2,6752.5,6752.5,1440,12065,7513.0,_clear_shape_collision_flags_kernel_43c60105_cuda_kernel_forward
0.0,13026,6,2171.0,992.0,928,7649,2692.3,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long long>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.0,12258,1,12258.0,12258.0,12258,12258,0.0,_remap_reference_kernel_4387e606_cuda_kernel_forward
0.0,11969,1,11969.0,11969.0,11969,11969,0.0,sync_worldbody_geom_xposes_kernel_b800af83_cuda_kernel_forward
0.0,11969,11,1088.1,1088.0,1057,1120,14.1,fused_add_mul_sub_mul_mul_add
0.0,11169,2,5584.5,5584.5,1248,9921,6132.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::FillFunctor<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,10881,1,10881.0,10881.0,10881,10881,0.0,_init_subtreemass_a34720d1_cuda_kernel_forward
0.0,10690,1,10690.0,10690.0,10690,10690,0.0,reset_envs_kernel_b0e3ad58_cuda_kernel_forward
0.0,10626,2,5313.0,5313.0,3681,6945,2308.0,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceScanInitKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::ScanTileState<int, (bool)1>>(T1, int)"
0.0,10114,1,10114.0,10114.0,10114,10114,0.0,_mark_body_flag_kernel_1194d90b_cuda_kernel_forward
0.0,9858,1,9858.0,9858.0,9858,9858,0.0,_replace_joint_type_kernel_4b8b8e57_cuda_kernel_forward
0.0,8897,1,8897.0,8897.0,8897,8897,0.0,_disable_joints_kernel_eb426f0b_cuda_kernel_forward
0.0,7392,1,7392.0,7392.0,7392,7392,0.0,validate_and_correct_inertia_kernel_7044ee8d_cuda_kernel_forward
0.0,7137,1,7137.0,7137.0,7137,7137,0.0,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(long long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,6016,2,3008.0,3008.0,2944,3072,90.5,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_fill_internal_kernel<at::native::OpaqueType<(int)8>, long long>::operator ()<at::native::TensorAssign>(at::TensorIterator &, at::native::OpaqueType<(int)8>, long long, long long, long long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,5441,1,5441.0,5441.0,5441,5441,0.0,"array_copy_2d_kernel(void *, const void *, wp::vec_t<(unsigned int)2, unsigned long long>, wp::vec_t<(unsigned int)2, unsigned long long>, wp::vec_t<(unsigned int)2, const int *>, wp::vec_t<(unsigned int)2, const int *>, wp::vec_t<(unsigned int)2, unsigned long long>, unsigned long long)"
0.0,5088,1,5088.0,5088.0,5088,5088,0.0,compute_shape_world_transforms_47e17149_cuda_kernel_forward
0.0,4192,1,4192.0,4192.0,4192,4192,0.0,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceRadixSortHistogramKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::radix::policy_hub<unsigned long long, SortPayload<(int)4>, unsigned int>::Policy1000, (bool)0, unsigned long long, unsigned int, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,4097,1,4097.0,4097.0,4097,4097,0.0,compute_shape_bvh_bounds_14f038b0_cuda_kernel_forward
0.0,3776,1,3776.0,3776.0,3776,3776,0.0,"wp::compute_total_bounds(const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, wp::vec_t<(unsigned int)3, float> *, wp::vec_t<(unsigned int)3, float> *, int)"
0.0,3552,4,888.0,880.0,864,928,30.6,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(long long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,3392,1,3392.0,3392.0,3392,3392,0.0,"wp::mark_packed_leaf_nodes(int, const int *, const int *, const int *, const unsigned long long *, wp::BVHPackedNodeHalf *, wp::BVHPackedNodeHalf *, int)"
0.0,3169,1,3169.0,3169.0,3169,3169,0.0,compute_enabled_shapes_70ba08e9_cuda_kernel_forward
0.0,2880,1,2880.0,2880.0,2880,2880,0.0,compute_particle_bvh_bounds_af1b7974_cuda_kernel_forward
