NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,2209,2209.0,2209.0,2209,2209,0.0,get_body_com_pose_from_body_link_pose_5940b76d_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,2208,1104.0,1104.0,1088,1120,22.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,2048,1024.0,1024.0,1024,1024,0.0,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,2,1792,896.0,896.0,896,896,0.0,"wp::memset_kernel(int *, int, unsigned long long)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1536,1536.0,1536.0,1536,1536,0.0,"wp::compute_morton_codes(const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, int, const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, int *, unsigned long long *, const int *)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1472,1472.0,1472.0,1472,1472,0.0,set_model_articulation_mask_per_world_kernel_7b6292eb_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1376,1376.0,1376.0,1376,1376,0.0,_zero_particle_mass_kernel_f35baa97_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1344,1344.0,1344.0,1344,1344,0.0,_clear_particle_flag_kernel_cf97181a_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1344,1344.0,1344.0,1344,1344,0.0,concat_joint_pos_limits_lower_and_upper_47a833bf_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1248,1248.0,1248.0,1248,1248,0.0,update_soft_joint_pos_limits_ca01ff7f_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1216,1216.0,1216.0,1216,1216,0.0,set_kinematic_flags_to_one_fd455eb1_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1216,1216.0,1216.0,1216,1216,0.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1185,1185.0,1185.0,1185,1185,0.0,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceRadixSortExclusiveSumKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::radix::policy_hub<unsigned long long, SortPayload<(int)4>, unsigned int>::Policy1000, unsigned int>(T2 *)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1120,1120.0,1120.0,1120,1120,0.0,"wp::compute_key_deltas(const unsigned long long *, int *, int)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.__init__,PushPop,2540424,2541520,1,1,1120,1120.0,1120.0,1120,1120,0.0,"wp::compute_total_inv_edges(const wp::vec_t<(unsigned int)3, float> *, const wp::vec_t<(unsigned int)3, float> *, wp::vec_t<(unsigned int)3, float> *)"
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,2880,102284638,35515.5,20226.0,19042,792726,55770.3,solve_elasticity_tile_f5ceeea2_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,2880,20913207,7261.5,4096.0,3840,68200,10782.7,gather_particle_body_contact_force_and_hessian_a0d50067_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,960,13742066,14314.7,8416.5,7072,306882,22577.4,accumulate_body_particle_contacts_per_body_43d37021_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,960,13333192,13888.7,7712.0,6944,191253,21436.3,solve_rigid_body_28cc7a07_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,960,13173841,13722.8,8449.0,6976,98346,19630.9,accumulate_body_body_contacts_per_body_6d3065a2_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,48,9397625,195783.9,76073.0,74792,1595373,402990.8,create_soft_contacts_b26277c8_cuda_kernel_forward
IsaacLab-Env:isaaclab.envs.manager_based_rl_env.ManagerBasedRLEnv.step,PushPop,2540424,2541520,12,2928,8627091,2946.4,1857.0,1824,45509,3651.1,apply_truncation_ts_94baa11a_cuda_kernel_forward
