attempt,optimizer_updates,physical_seed,candidate_mode,noise_seed,requested_noise_rms_m,noise_scale,noise_halvings,inertial_base_fallback,initializer_fallback,candidate_from_previous_rms_m,valid,min_gauss_j,min_center_j,min_center_singular_ratio,energy_before_joule,energy_after_joule,normalized_loss,energy_ratio,descent,gradient_norm,nonzero_gradient_tensors,status,elapsed_seconds
1,1,8,inertial,1297496168,0,0,0,False,False,0.0009260308726487296,True,0.9115656614303589,0.9206082224845886,0.8845375180244446,27.403196334838867,27.403196334838867,0.0,1.0,False,6.075807094573975,2,complete,1.3021693788468838
2,2,6,noisy_inertial,1998316827,0.0014328438120746662,1.0,0,False,False,0.0018403087849694826,True,0.8019919395446777,0.8194867968559265,0.6936179399490356,163.36570739746094,163.60574340820312,0.0014693169978335257,1.0014693169978335,False,3.403785228729248,68,complete,1.5869259350001812
3,3,5,inertial,3564417306,0,0,0,False,False,0.0008877445040827954,True,0.8321133852005005,0.8451964855194092,0.819669783115387,138.38720703125,138.48678588867188,0.0007195669278836484,1.0007195669278837,False,5.685649394989014,72,complete,1.7252625860273838
4,4,2,previous,1830107601,0,0,0,False,False,0.0,True,0.8405693769454956,0.8459464311599731,0.8539628386497498,80.0433349609375,80.07252502441406,0.00036467825198447496,1.0003646782519844,False,7.200918197631836,72,complete,1.8654828928411007
5,5,4,inertial,3948279203,0,0,0,False,False,0.0012574630379416011,True,0.7966944575309753,0.8058828115463257,0.8178266286849976,105.56957244873047,105.80716705322266,0.0022505973926111576,1.0022505973926112,False,3.2065303325653076,72,complete,2.004668705165386
6,6,13,inertial,4088827538,0,0,0,False,False,0.0008676485830332849,True,0.9456826448440552,0.9546684622764587,0.894516110420227,24.156862258911133,24.10296058654785,-0.002231319274232218,0.9977686807257677,True,13.875946044921875,72,complete,2.146790735423565
7,7,12,noisy_inertial,2252507016,0.0012546523762639074,1.0,0,False,False,0.0019501251209227896,True,0.8331973552703857,0.8550117611885071,0.7632879018783569,135.3281707763672,135.59483337402344,0.001970488451343334,1.0019704884513434,False,5.023276329040527,72,complete,2.4317788034677505
8,8,7,noisy_inertial,2890889445,0.001341908073148682,1.0,0,False,False,0.0019456737378573436,True,0.8801396489143372,0.8975498080253601,0.7984195947647095,53.86466598510742,54.21669006347656,0.006535343196344497,1.0065353431963444,False,14.532597541809082,72,complete,2.713664211332798
9,9,11,noisy_inertial,3861366630,0.0015217817786300032,1.0,0,False,False,0.002910001419779722,True,0.8471382260322571,0.8688878417015076,0.7389898896217346,135.79786682128906,135.66696166992188,-0.0009639706015372067,0.9990360293984628,True,6.16655969619751,72,complete,3.656141012907028
10,10,9,inertial,1070465344,0,0,0,False,False,0.0014337688819244746,True,0.8439627885818481,0.8621700406074524,0.7785450220108032,135.56272888183594,135.09901428222656,-0.003420664392301918,0.9965793356076981,True,3.305424928665161,72,complete,3.796592939645052
11,11,1,inertial,2663723214,0,0,0,False,False,0.0010627579388046264,True,0.8454911112785339,0.8694068789482117,0.7439348101615906,195.87197875976562,195.45530700683594,-0.002127265755765555,0.9978727342442344,True,3.1100502014160156,72,complete,3.934544548392296
12,12,3,inertial,268655963,0,0,0,False,False,0.0020213320456136832,True,0.874739408493042,0.8859620690345764,0.8672968745231628,36.210628509521484,36.32701110839844,0.0032140452587380705,1.0032140452587381,False,8.049001693725586,72,complete,4.077184040099382
13,13,14,inertial,90514235,0,0,0,False,False,0.0008464528758327542,True,0.8614071607589722,0.8763378858566284,0.8074150085449219,73.98258209228516,73.66322326660156,-0.004316675853314076,0.9956833241466859,True,4.339468002319336,72,complete,4.216439262032509
14,14,15,inertial,250533092,0,0,0,False,False,0.0011274326712872513,True,0.9185304641723633,0.9370428919792175,0.7944904565811157,192.07884216308594,191.0181121826172,-0.00552236763051773,0.9944776323694823,True,5.068885803222656,72,complete,4.356123939156532
15,15,0,noisy_inertial,329479637,0.0013811445595832065,1.0,0,False,False,0.002358266532494646,True,0.8864331841468811,0.8968371748924255,0.8738104701042175,36.99613571166992,36.72559356689453,-0.007312713600249115,0.9926872863997509,True,12.231338500976562,72,complete,4.6475053280591965
16,16,10,inertial,3555258926,0,0,0,False,False,0.0010061900837447055,True,0.8544186353683472,0.8733453750610352,0.797371506690979,98.45536041259766,99.24349975585938,0.008005042487873256,1.0080050424878733,False,2.808742046356201,72,complete,4.792431589215994
17,17,15,previous,109805100,0,0,0,False,False,0.0,True,0.935043454170227,0.9468845725059509,0.7996652722358704,191.14125061035156,188.98492431640625,-0.011281323560768485,0.9887186764392315,True,5.237604141235352,72,complete,5.7130919843912125
18,18,9,inertial,204083228,0,0,0,False,False,0.0014337688819244746,True,0.8439627885818481,0.8621700406074524,0.7785450220108032,135.56272888183594,134.19590759277344,-0.010082574320659315,0.9899174256793407,True,2.815925121307373,72,complete,5.852607253938913
19,19,5,inertial,2295513141,0,0,0,False,False,0.0008877445040827954,True,0.8321133852005005,0.8451964855194092,0.819669783115387,138.38720703125,136.0928497314453,-0.01657925865420917,0.9834207413457908,True,4.122106075286865,72,complete,5.991777338087559
20,20,7,noisy_inertial,1417475346,0.0018842698730019336,1.0,0,False,False,0.0025319436746943764,True,0.873268723487854,0.8863325715065002,0.8060828447341919,68.48078155517578,67.89149475097656,-0.008605141337711272,0.9913948586622887,True,3.9001688957214355,72,complete,6.278678115457296
21,21,12,inertial,500141693,0,0,0,False,False,0.0018368115918662024,True,0.8398538827896118,0.8534592986106873,0.7644179463386536,135.4047393798828,136.63644409179688,0.009096466767374155,1.009096466767374,False,2.6302742958068848,72,complete,6.418704852461815
22,22,13,noisy_inertial,1694213483,0.0022264319394913914,1.0,0,False,False,0.002253848670665192,True,0.9406903982162476,0.9489759206771851,0.8789706230163574,41.041378021240234,39.951908111572266,-0.02654564642308387,0.9734543535769161,True,7.15964937210083,72,complete,6.70314509421587
23,23,3,noisy_inertial,1083588195,0.0002967561440338922,1.0,0,False,False,0.002051599110074205,True,0.8811458945274353,0.8922935724258423,0.8689826726913452,36.12913513183594,36.77216720581055,0.017798158511909364,1.0177981585119094,False,12.037333488464355,72,complete,6.994173534214497
24,24,10,inertial,3705744106,0,0,0,False,False,0.0010061900837447055,True,0.8544186353683472,0.8733453750610352,0.797371506690979,98.45536041259766,99.53527069091797,0.010968526993296495,1.0109685269932964,False,4.014160633087158,72,complete,7.139497324824333
25,25,2,noisy_inertial,506037414,0.0006880102180450427,1.0,0,False,False,0.0007515161591529427,True,0.8468455076217651,0.8516308069229126,0.861050546169281,81.93549346923828,83.52208709716797,0.01936393571029575,1.0193639357102957,False,9.755058288574219,72,complete,8.073117058724165
26,26,14,inertial,2060671945,0,0,0,False,False,0.0008464528758327542,True,0.8614071607589722,0.8763378858566284,0.8074150085449219,73.98258209228516,72.94200134277344,-0.014065212649833016,0.9859347873501669,True,3.2490806579589844,72,complete,8.214589182287455
27,27,8,noisy_inertial,2586950777,0.0020984996907877497,1.0,0,False,False,0.0024731303604928496,True,0.9065131545066833,0.9181598424911499,0.8812307715415955,42.57049560546875,43.02307891845703,0.010631384637442202,1.0106313846374422,False,32.3005485534668,72,complete,8.49664967507124
28,28,1,inertial,1377190691,0,0,0,False,False,0.0010627579388046264,True,0.8454911112785339,0.8694068789482117,0.7439348101615906,195.87197875976562,193.98097229003906,-0.009654298086434593,0.9903457019135654,True,2.9511301517486572,72,complete,8.636545069515705
29,29,11,inertial,3287564585,0,0,0,False,False,0.00248680079544449,True,0.8551995754241943,0.8760655522346497,0.7536994814872742,112.39400482177734,110.34339141845703,-0.01824486463109808,0.9817551353689019,True,3.0644848346710205,72,complete,8.776833392679691
30,30,6,inertial,586642184,0,0,0,False,False,0.00170503146333251,True,0.8099891543388367,0.8276446461677551,0.7060531377792358,167.4231719970703,164.88621520996094,-0.015152960948283601,0.9848470390517164,True,2.610213279724121,72,complete,8.917746543884277
31,31,0,inertial,2247376672,0,0,0,False,False,0.002129038930236235,True,0.8889185190200806,0.8984441161155701,0.868065595626831,28.15040397644043,27.65347671508789,-0.01765258011105014,0.9823474198889499,True,6.7588276863098145,72,complete,9.058226000517607
32,32,4,inertial,2956499643,0,0,0,False,False,0.0012574630379416011,True,0.7966944575309753,0.8058828115463257,0.8178266286849976,105.56957244873047,106.5180435180664,0.008984322350993317,1.0089843223509933,False,3.631757974624634,72,complete,9.198905251920223
33,33,8,inertial,2840473166,0,0,0,False,False,0.0009260308726487296,True,0.9115656614303589,0.9206082224845886,0.8845375180244446,27.403196334838867,27.481969833374023,0.00287460986567498,1.002874609865675,False,8.149985313415527,72,complete,10.03568121790886
