NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,131919,32979.8,31795.5,31556,36772,2531.0,_tile_cholesky_factorize_block__locals__kernel_7b151490_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,131533,32883.3,32819.0,32548,33347,336.8,_cdof_3e73eb78_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,12,128047,10670.6,10913.0,9377,11490,751.0,repeat_array_kernel_a2286757_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,11,113259,10296.3,10721.0,9089,11137,873.1,repeat_array_kernel_62aa76ac_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,109388,27347.0,26339.0,26115,30595,2173.6,_geom_local_to_global_e28b714c_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,102571,25642.8,25330.5,24899,27011,936.8,_site_local_to_global_084f92a4_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,95915,23978.8,23843.0,23362,24867,647.4,_compute_body_inertial_frames_d3bdd81a_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,4,81225,20306.3,20386.0,19843,20610,342.7,_compute_body_matrices_27760750_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,3,77831,25943.7,26114.0,25538,26179,352.8,repeat_array_kernel_110bb2ab_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,1,73192,73192.0,73192.0,73192,73192,0.0,update_body_inertia_kernel_f58a19e3_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,1,70248,70248.0,70248.0,70248,70248,0.0,update_geom_properties_kernel_170f7df2_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,64,68744,1074.1,1088.0,1056,1152,18.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long long)2>>(int, T2, T3)"
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,21,65445,3116.4,3200.0,2624,3328,215.6,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,1,63079,63079.0,63079.0,63079,63079,0.0,"wp::build_hierarchy(int, int *, const int *, const unsigned long long *, int *, const int *, volatile int *, volatile int *, volatile int *, volatile wp::BVHPackedNodeHalf *, volatile wp::BVHPackedNodeHalf *)"
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,3,62856,20952.0,19523.0,15842,27491,5954.5,update_body_properties_kernel_0a57e982_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,2,60615,30307.5,30307.5,24355,36260,8418.1,_update_effective_inv_mass_inertia_79ac0336_cuda_kernel_forward
IsaacLab-Sim:isaaclab.sim.simulation_context.SimulationContext.reset,PushPop,2541164,2538084,1,2,60486,30243.0,30243.0,30211,30275,45.3,_compute_meaninertia_af08211b_cuda_kernel_forward
