Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,254843,25,10193.7,10433.0,9025,11426,792.5,repeat_array_kernel_d1be1218_cuda_kernel_forward
0.0,253753,49,5178.6,3905.0,3648,38693,6214.8,convert_warp_coords_to_mj_kernel_87f98e23_cuda_kernel_forward
0.0,251107,48,5231.4,4528.5,4032,38948,4972.3,_actuator_force_311863ad_cuda_kernel_forward
0.0,248732,148,1680.6,1216.0,1184,11041,2060.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_kernel_impl(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float, float) (instance 1)], std::array<char *, (unsigned long long)4>>(int, T2, T3)"
0.0,246198,97,2538.1,2048.0,1888,19042,2876.9,reset_rigid_state_0312466f_cuda_kernel_forward
0.0,244247,96,2544.2,2112.0,1952,23203,2998.2,_copy_mapped_body_state_44500f51_cuda_kernel_forward
0.0,241179,3,80393.0,79785.0,76808,84586,3924.5,"void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, T2, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long long, T2>, T2, T1 *)"
0.0,235800,28,8421.4,11713.0,1216,18754,6226.6,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long long, at::PhiloxCudaState, T3, T4)"
0.0,235036,48,4896.6,4832.0,4705,5185,155.1,update_body_velocity_3518c106_cuda_kernel_forward
0.0,232665,150,1551.1,1152.0,1088,11073,1778.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,229813,101,2275.4,928.0,832,14145,2773.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long long)1>>(int, T2, T3)"
0.0,227607,48,4741.8,4064.0,3968,34660,4411.7,_nxn_broadphase__locals__kernel_8636c784_cuda_kernel_forward
0.0,227391,97,2344.2,1792.0,1600,33988,3708.2,_reset_proxy_values_masked_kernel_43f5823e_cuda_kernel_forward
0.0,225232,92,2448.2,2241.0,2048,19299,1779.5,_solve_done_c8485047_cuda_kernel_forward
0.0,218431,48,4550.6,4096.5,3040,28899,3705.9,_apply_ft_1667a928_cuda_kernel_forward
0.0,211508,56,3776.9,1696.0,1600,18722,4823.5,_subtree_div_0ef57c26_cuda_kernel_forward
0.0,208242,48,4338.4,3937.0,3744,20162,2336.6,_limit_slide_hinge__locals__kernel_f6df994e_cuda_kernel_forward
0.0,207514,48,4323.2,3553.0,3361,39780,5228.5,convert_mj_coords_to_warp_kernel_55623290_cuda_kernel_forward
0.0,207282,140,1480.6,1408.0,1120,11553,1140.1,_update_gradient_zero_grad_dot__locals__kernel_c1c72bbd_cuda_kernel_forward
0.0,207098,97,2135.0,1664.0,1441,29827,3273.3,_scatter_reset_owned_rows_kernel_66882d6f_cuda_kernel_forward
0.0,204920,48,4269.2,3680.0,3296,31620,4033.9,_efc_contact_update__locals__kernel_1b4b8d05_cuda_kernel_forward
0.0,203762,140,1455.4,1312.0,1184,13697,1290.6,set_conditional_if_handle_kernel
0.0,203152,48,4232.3,3440.5,3328,39300,5170.5,_solve_init_jaref_kernel__locals__kernel_c55aacd8_cuda_kernel_forward
0.0,193335,96,2013.9,2016.0,1824,2304,92.5,_scatter_scalar_state_mapped_0c5e1c3c_cuda_kernel_forward
0.0,192242,48,4005.0,4001.0,3840,4224,91.0,_scatter_body_state_mapped_697f097c_cuda_kernel_forward
0.0,188342,56,3363.3,1600.0,1376,18498,4149.2,_subtree_com_init_002b02fd_cuda_kernel_forward
0.0,187835,48,3913.2,3136.0,3040,40037,5325.4,build_body_body_contact_lists_447b4026_cuda_kernel_forward
0.0,180624,100,1806.2,1344.5,1248,12705,2156.4,"void at::native::cross_kernel<float, OffsetCalculator<(int)3, unsigned int, (bool)0>, int>(int, T1 *, const T1 *, const T1 *, T2, T3, T3, T3)"
0.0,178163,6,29693.8,29811.5,28931,29987,380.5,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)1>>(at::TensorIterator &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.0,172658,97,1780.0,1344.0,1280,20642,2478.2,reset_world_buffers_kernel_3098eca0_cuda_kernel_forward
0.0,172556,102,1691.7,1472.0,1312,13537,1567.1,write_2d_data_to_buffer_with_indices_47cc0614_cuda_kernel_forward
0.0,170418,50,3408.4,2784.0,2624,33092,4284.9,get_body_com_acc_from_body_com_vel_ordered_5ec3c72d_cuda_kernel_forward
0.0,169008,48,3521.0,2944.0,2720,29316,3804.6,apply_mjc_qfrc_kernel_173e90ee_cuda_kernel_forward
0.0,167350,96,1743.2,1441.0,1376,15649,1868.2,_add_mapped_body_forces_kernel_c1b1562d_cuda_kernel_forward
0.0,162447,48,3384.3,2832.5,2752,27843,3606.6,_qderiv_actuator_passive_6cbfee2a_cuda_kernel_forward
0.0,161136,96,1678.5,1377.0,1312,14434,1862.1,_copy_mapped_float_03c0f0b2_cuda_kernel_forward
0.0,159756,48,3328.3,2304.0,2144,51269,7067.5,_nxn_broadphase_precomputed_pairs_8be4a3a3_cuda_kernel_forward
